fundCode,fundName,setupDate,issueDate,wrtOffDate,isinitial,fundCorp,ivstTypeCode,ivstTypeInDt,ivstTypeExDt,fundType,typeInDt,typeExDt,frstIvstType,scndIvstType
000001.OF,华夏成长,20011218,20011128,,1,华夏基金,2.00E+15,20011218,,开放式,20011218,,混合型基金,偏股混合型基金
000003.OF,中海可转换债券A,20130320,20130225,,1,中海基金,2.00E+15,20130320,,开放式,20130320,,债券型基金,混合债券型二级基金
000004.OF,中海可转换债券C,20130320,20130225,,0,中海基金,2.00E+15,20130320,,开放式,20130320,,债券型基金,混合债券型二级基金
000005.OF,嘉实增强信用,20130308,20130218,,1,嘉实基金,2.00E+15,20130308,,开放式,20130308,,债券型基金,中长期纯债型基金
000006.OF,西部利得量化成长,20190319,20190215,,1,西部利得基金,2.00E+15,20190319,,开放式,20190319,,混合型基金,偏股混合型基金
000007.OF,鹏华国有企业债,20130308,20130204,20180807,1,鹏华基金,2.00E+15,20130308,20180807,开放式,20130308,20180807,债券型基金,混合债券型二级基金
000008.OF,嘉实中证500ETF联接A,20130322,20130221,,1,嘉实基金,2.00E+15,20130322,,开放式,20130322,,股票型基金,被动指数型基金
000009.OF,易方达天天A,20130304,20130221,,1,易方达基金,2.00E+15,20130304,,开放式,20130304,,货币市场型基金,货币市场型基金
000010.OF,易方达天天B,20130304,20130221,,0,易方达基金,2.00E+15,20130304,,开放式,20130304,,货币市场型基金,货币市场型基金
000011.OF,华夏大盘精选,20040811,20040706,,1,华夏基金,2.00E+15,20040811,,开放式,20040811,,混合型基金,偏股混合型基金
000013.OF,易方达天天R,20130304,20130221,,0,易方达基金,2.00E+15,20130304,,开放式,20130304,,货币市场型基金,货币市场型基金
000014.OF,华夏聚利,20130319,20130225,,1,华夏基金,2.00E+15,20130319,,开放式,20130319,,债券型基金,混合债券型一级基金
000015.OF,华夏纯债A,20130308,20130221,,1,华夏基金,2.00E+15,20130308,,开放式,20130308,,债券型基金,中长期纯债型基金
000016.OF,华夏纯债C,20130308,20130221,,0,华夏基金,2.00E+15,20130308,,开放式,20130308,,债券型基金,中长期纯债型基金
000017.OF,财通可持续发展主题,20130327,20130225,,1,财通基金,2.00E+15,20140105,,开放式,20130327,,混合型基金,偏股混合型基金
000017.OF,财通可持续发展主题,20130327,20130225,,1,财通基金,2.00E+15,20130327,20140104,开放式,20130327,,股票型基金,普通股票型基金
000020.OF,景顺长城品质投资,20130319,20130225,,1,景顺长城基金,2.00E+15,20150807,,开放式,20130319,,混合型基金,偏股混合型基金
000020.OF,景顺长城品质投资,20130319,20130225,,1,景顺长城基金,2.00E+15,20130319,20150806,开放式,20130319,,股票型基金,普通股票型基金
000021.OF,华夏优势增长,20061124,20061120,,1,华夏基金,2.00E+15,20061124,20150714,开放式,20061124,,股票型基金,普通股票型基金
000021.OF,华夏优势增长,20061124,20061120,,1,华夏基金,2.00E+15,20150715,,开放式,20061124,,混合型基金,偏股混合型基金
000022.OF,南方中债中期票据A,20130503,20130401,20180425,1,南方基金,2.00E+15,20130503,20180425,开放式,20130503,20180425,债券型基金,被动指数型债券基金
000023.OF,南方中债中期票据C,20130503,20130401,20180425,0,南方基金,2.00E+15,20130503,20180425,开放式,20130503,20180425,债券型基金,被动指数型债券基金
000024.OF,大摩双利增强A,20130326,20130227,,1,摩根士丹利华鑫基金,2.00E+15,20130326,,开放式,20130326,,债券型基金,中长期纯债型基金
000025.OF,大摩双利增强C,20130326,20130227,,0,摩根士丹利华鑫基金,2.00E+15,20130326,,开放式,20130326,,债券型基金,中长期纯债型基金
000026.OF,泰达宏利信用合利A,20130319,20130225,20180809,1,泰达宏利基金,2.00E+15,20130319,20180809,开放式,20130319,20180809,债券型基金,中长期纯债型基金
000027.OF,泰达宏利信用合利B,20130319,20130225,20180809,0,泰达宏利基金,2.00E+15,20130319,20180809,开放式,20130319,20180809,债券型基金,中长期纯债型基金
000028.OF,华富安鑫,20130424,20130318,,1,华富基金,2.00E+15,20190612,,开放式,20130424,,债券型基金,混合债券型二级基金
000028.OF,华富安鑫,20130424,20130318,,1,华富基金,2.00E+15,20130424,20190611,开放式,20130424,,混合型基金,偏债混合型基金
000029.OF,富国宏观策略,20130412,20130311,,1,富国基金,2.00E+15,20130412,,开放式,20130412,,混合型基金,灵活配置型基金
000030.OF,长城核心优选,20130418,20130318,,1,长城基金,2.00E+15,20190524,,开放式,20130418,,混合型基金,灵活配置型基金
000030.OF,长城核心优选,20130418,20130318,,1,长城基金,2.00E+15,20130418,20190523,开放式,20130418,,混合型基金,偏债混合型基金
000031.OF,华夏复兴,20070910,20070905,,1,华夏基金,2.00E+15,20070910,20150714,开放式,20070910,,股票型基金,普通股票型基金
000031.OF,华夏复兴,20070910,20070905,,1,华夏基金,2.00E+15,20150715,,开放式,20070910,,混合型基金,偏股混合型基金
000032.OF,易方达信用债A,20130424,20130326,,1,易方达基金,2.00E+15,20130424,,开放式,20130424,,债券型基金,中长期纯债型基金
000033.OF,易方达信用债C,20130424,20130326,,0,易方达基金,2.00E+15,20130424,,开放式,20130424,,债券型基金,中长期纯债型基金
