日期,代码,简称,申购权重,申购费率,赎回权重,赎回费率
2014-12-31,530011.OF,建信内生动力,0.3333333333333333,5e-10,0.3351869473441271,0.005
2014-12-31,400001.OF,东方龙,0.3333333333333333,5e-10,0.336790712543772,0.005
2014-12-31,160910.SZ,大成创新,0.3333333333333333,5e-10,0.3280223401121009,0.005
2015-01-30,530011.OF,建信内生动力,0.2,5e-10,0.19698954468311844,0.005
2015-01-30,360005.OF,光大红利,0.2,5e-10,0.2022624785625886,0.005
2015-01-30,110011.OF,易方达中小盘,0.2,5e-10,0.1949904438494184,0.005
2015-01-30,400001.OF,东方龙,0.2,5e-10,0.20508937608593017,0.005
2015-01-30,160910.SZ,大成创新,0.2,5e-10,0.2006681568189444,0.005
2015-02-27,530011.OF,建信内生动力,0.2,5e-10,0.19559860799420614,0.005
2015-02-27,519069.OF,汇添富价值精选A,0.2,5e-10,0.20425108547321916,0.005
2015-02-27,360005.OF,光大红利,0.2,5e-10,0.20453486504946164,0.005
2015-02-27,180001.OF,银华优势企业,0.2,7.5e-10,0.20060283923976924,0.005
2015-02-27,160910.SZ,大成创新,0.2,5e-10,0.19501260224334374,0.005
2015-03-31,530011.OF,建信内生动力,0.2,5e-10,0.19352088721380659,0.005
2015-03-31,160505.SZ,博时主题,0.2,5e-10,0.20270046451157603,0.005
2015-03-31,360005.OF,光大红利,0.2,5e-10,0.20207461817963113,0.005
2015-03-31,360016.OF,光大行业轮动,0.2,5e-10,0.20207230678606136,0.005
2015-03-31,160910.SZ,大成创新,0.2,5e-10,0.1996317233089248,0.005
2015-04-30,160505.SZ,博时主题,0.2,5e-10,0.18501417116389712,0.005
2015-04-30,519069.OF,汇添富价值精选A,0.2,5e-10,0.20788473805176733,0.005
2015-04-30,530011.OF,建信内生动力,0.2,5e-10,0.2085462123446157,0.005
2015-04-30,360005.OF,光大红利,0.2,5e-10,0.2033415093829933,0.005
2015-04-30,288002.OF,华夏收入,0.2,2.5e-10,0.19521336905672668,0.005
2015-05-29,160505.SZ,博时主题,0.2,5e-10,0.20451130912726295,0.005
2015-05-29,519069.OF,汇添富价值精选A,0.2,5e-10,0.19569906553156827,0.005
2015-05-29,202005.OF,南方成份精选A,0.2,5e-10,0.20862192856809883,0.005
2015-05-29,288002.OF,华夏收入,0.2,2.5e-10,0.19456985470185575,0.005
2015-05-29,310328.OF,申万菱信新动力,0.2,2.5e-10,0.19659784207121422,0.005
2015-06-30,160505.SZ,博时主题,0.2,5e-10,0.20065164925928894,0.005
2015-06-30,202005.OF,南方成份精选A,0.2,5e-10,0.20315234463709425,0.005
2015-06-30,519069.OF,汇添富价值精选A,0.2,5e-10,0.19921713277034198,0.005
2015-06-30,288002.OF,华夏收入,0.2,2.5e-10,0.19998873772673365,0.005
2015-06-30,160311.SZ,华夏蓝筹,0.2,5e-10,0.1969901356065412,0.005
2015-07-31,160505.SZ,博时主题,0.2,5e-10,0.19596336647118623,0.005
2015-07-31,202005.OF,南方成份精选A,0.2,5e-10,0.20771194631244372,0.005
2015-07-31,519069.OF,汇添富价值精选A,0.2,5e-10,0.19814110549925523,0.005
2015-07-31,288002.OF,华夏收入,0.2,2.5e-10,0.1956593339316366,0.005
2015-07-31,360007.OF,光大优势,0.2,5e-10,0.2025242477854782,0.005
2015-08-31,160505.SZ,博时主题,0.2,5e-10,0.1977558311597,0.005
2015-08-31,202005.OF,南方成份精选A,0.2,5e-10,0.1992774113789307,0.005
2015-08-31,519069.OF,汇添富价值精选A,0.2,5e-10,0.20406307223567938,0.005
2015-08-31,288002.OF,华夏收入,0.2,2.5e-10,0.20047473438959196,0.005
2015-08-31,530011.OF,建信内生动力,0.2,5e-10,0.19842895083609796,0.005
2015-09-30,202005.OF,南方成份精选A,0.2,5e-10,0.18921652895436486,0.005
2015-09-30,160505.SZ,博时主题,0.2,5e-10,0.2065483585729129,0.005
2015-09-30,519069.OF,汇添富价值精选A,0.2,5e-10,0.20455336572715316,0.005
2015-09-30,160311.SZ,华夏蓝筹,0.2,5e-10,0.19269516801157827,0.005
2015-09-30,160607.SZ,鹏华价值,0.2,5e-10,0.20698657873399087,0.005
2015-10-30,160505.SZ,博时主题,0.2,5e-10,0.1950220797807837,0.005
2015-10-30,202005.OF,南方成份精选A,0.2,5e-10,0.19823149951049435,0.005
2015-10-30,090001.OF,大成价值增长,0.2,5e-10,0.20416662881643208,0.0025
2015-10-30,160607.SZ,鹏华价值,0.2,5e-10,0.20229843117081975,0.005
2015-10-30,288002.OF,华夏收入,0.2,2.5e-10,0.20028136072147013,0.005
2015-11-30,202005.OF,南方成份精选A,0.2,5e-10,0.20463052917326113,0.005
2015-11-30,360007.OF,光大优势,0.2,5e-10,0.1967513472466565,0.005
2015-11-30,288002.OF,华夏收入,0.2,2.5e-10,0.20376500257762314,0.005
2015-11-30,040008.OF,华安策略优选,0.2,5e-10,0.1977849361752848,0.005
2015-11-30,050010.OF,博时特许价值A,0.2,5e-10,0.19706818482717434,0.005
2015-12-31,202005.OF,南方成份精选A,0.2,5e-10,0.20347086487828694,0.005
2015-12-31,160505.SZ,博时主题,0.2,5e-10,0.20975098276068246,0.005
2015-12-31,288002.OF,华夏收入,0.2,2.5e-10,0.19167275344866333,0.005
2015-12-31,040008.OF,华安策略优选,0.2,5e-10,0.19965024705588194,0.005
2015-12-31,180012.OF,银华富裕主题,0.2,5e-10,0.19545515185648518,0.005
2016-01-29,202005.OF,南方成份精选A,0.2,5e-10,0.19826741661618466,0.005
2016-01-29,160505.SZ,博时主题,0.2,5e-10,0.2043217223775538,0.005
2016-01-29,090001.OF,大成价值增长,0.2,5e-10,0.20392654941215052,0.0025
2016-01-29,288002.OF,华夏收入,0.2,2.5e-10,0.1969965206229324,0.005
2016-01-29,360007.OF,光大优势,0.2,5e-10,0.1964877909711786,0.005
2016-02-29,202005.OF,南方成份精选A,0.2,5e-10,0.19726481013711908,0.005
2016-02-29,090001.OF,大成价值增长,0.2,5e-10,0.1975259859923231,0.0025
2016-02-29,360007.OF,光大优势,0.2,5e-10,0.2020280532101742,0.005
2016-02-29,160607.SZ,鹏华价值,0.2,5e-10,0.20130017416087637,0.005
2016-02-29,288002.OF,华夏收入,0.2,2.5e-10,0.20188097649950743,0.005
2016-03-31,202005.OF,南方成份精选A,0.2,5e-10,0.20337897148074457,0.005
2016-03-31,160505.SZ,博时主题,0.2,5e-10,0.19692217782068594,0.005
2016-03-31,110011.OF,易方达中小盘,0.2,5e-10,0.19904972007518096,0.005
2016-03-31,040008.OF,华安策略优选,0.2,5e-10,0.20258735920116616,0.005
2016-03-31,360007.OF,光大优势,0.2,5e-10,0.19806177142222245,0.005
2016-04-29,202005.OF,南方成份精选A,0.2,5e-10,0.1969652102645206,0.005
2016-04-29,160505.SZ,博时主题,0.2,5e-10,0.19927637113231847,0.005
2016-04-29,110011.OF,易方达中小盘,0.2,5e-10,0.2069490078042519,0.005
2016-04-29,040008.OF,华安策略优选,0.2,5e-10,0.19701082983589177,0.005
2016-04-29,360007.OF,光大优势,0.2,5e-10,0.19979858096301722,0.005
2016-05-31,202005.OF,南方成份精选A,0.2,5e-10,0.20295567651752855,0.005
2016-05-31,160505.SZ,博时主题,0.2,5e-10,0.1952255374022404,0.005
2016-05-31,110011.OF,易方达中小盘,0.2,5e-10,0.20573373609667428,0.005
2016-05-31,288002.OF,华夏收入,0.2,2.5e-10,0.19782440561806977,0.005
2016-05-31,000082.OF,嘉实研究阿尔法,0.2,5e-10,0.19826064436548696,0.005
2016-06-30,160505.SZ,博时主题,0.2,5e-10,0.20091756308925612,0.005
2016-06-30,110011.OF,易方达中小盘,0.2,5e-10,0.2093126236674856,0.005
2016-06-30,360007.OF,光大优势,0.2,5e-10,0.19523025740362981,0.005
2016-06-30,288002.OF,华夏收入,0.2,2.5e-10,0.19733678372442215,0.005
