,日期,代码,权重
0,2013-03-31,270008.OF,0.1
1,2013-03-31,270021.OF,0.1
2,2013-03-31,660001.OF,0.1
3,2013-03-31,070099.OF,0.1
4,2013-03-31,500002.SH,0.1
5,2013-03-31,519670.OF,0.1
6,2013-03-31,162209.OF,0.1
7,2013-03-31,519692.OF,0.1
8,2013-03-31,260104.OF,0.1
9,2013-03-31,580002.OF,0.1
10,2013-06-30,270008.OF,0.1
11,2013-06-30,660001.OF,0.1
12,2013-06-30,270021.OF,0.1
13,2013-06-30,260104.OF,0.1
14,2013-06-30,260109.OF,0.1
15,2013-06-30,162212.OF,0.1
16,2013-06-30,500002.SH,0.1
17,2013-06-30,240008.OF,0.1
18,2013-06-30,260101.OF,0.1
19,2013-06-30,519692.OF,0.1
20,2013-09-30,260104.OF,0.1
21,2013-09-30,260109.OF,0.1
22,2013-09-30,660001.OF,0.1
23,2013-09-30,500002.SH,0.1
24,2013-09-30,270021.OF,0.1
25,2013-09-30,660005.OF,0.1
26,2013-09-30,240008.OF,0.1
27,2013-09-30,500011.SH,0.1
28,2013-09-30,519670.OF,0.1
29,2013-09-30,270008.OF,0.1
30,2013-12-31,260104.OF,0.1
31,2013-12-31,260109.OF,0.1
32,2013-12-31,519668.OF,0.1
33,2013-12-31,470009.OF,0.1
34,2013-12-31,660001.OF,0.1
35,2013-12-31,500002.SH,0.1
36,2013-12-31,660005.OF,0.1
37,2013-12-31,240008.OF,0.1
38,2013-12-31,260101.OF,0.1
39,2013-12-31,150017.SZ,0.1
40,2014-03-31,270021.OF,0.1
41,2014-03-31,260104.OF,0.1
42,2014-03-31,470006.OF,0.1
43,2014-03-31,519670.OF,0.1
44,2014-03-31,260109.OF,0.1
45,2014-03-31,660005.OF,0.1
46,2014-03-31,470009.OF,0.1
47,2014-03-31,150017.SZ,0.1
48,2014-03-31,240008.OF,0.1
49,2014-03-31,500002.SH,0.1
50,2014-06-30,519670.OF,0.1
51,2014-06-30,260104.OF,0.1
52,2014-06-30,470006.OF,0.1
53,2014-06-30,470009.OF,0.1
54,2014-06-30,260109.OF,0.1
55,2014-06-30,150017.SZ,0.1
56,2014-06-30,240017.OF,0.1
57,2014-06-30,519668.OF,0.1
58,2014-06-30,660005.OF,0.1
59,2014-06-30,240008.OF,0.1
60,2014-09-30,470009.OF,0.1
61,2014-09-30,519670.OF,0.1
62,2014-09-30,470006.OF,0.1
63,2014-09-30,240017.OF,0.1
64,2014-09-30,150017.SZ,0.1
65,2014-09-30,260104.OF,0.1
66,2014-09-30,233007.OF,0.1
67,2014-09-30,260109.OF,0.1
68,2014-09-30,519668.OF,0.1
69,2014-09-30,110029.OF,0.1
70,2014-12-31,165508.SZ,0.1
71,2014-12-31,162207.SZ,0.1
72,2014-12-31,470009.OF,0.1
73,2014-12-31,550009.OF,0.1
74,2014-12-31,240017.OF,0.1
75,2014-12-31,150017.SZ,0.1
76,2014-12-31,519670.OF,0.1
77,2014-12-31,519674.OF,0.1
78,2014-12-31,070013.OF,0.1
79,2014-12-31,470006.OF,0.1
